ID,Title,Alt Title,Special Mode Title,Locations,Comments
148,The Emperor's Wont,0,0,Castrums impériaux,
149,Penitus,0,0,Le Praetorium,
150,Ultima,0,0,Phase 2 de l'Ultima Arma,
151,Steel Reason,0,0,Cap Vendouest/Boss garlemaldais,
152,Bite of the Black Wolf,0,0,Thème de Gaius van Baelsar,Version instrumentale de Rise of the White Raven (199) 
153,The Corpse Hall,0,0,ALÉA d'Odin,
154,Thunderer,0,0,ALÉAs spéciaux,
155,Fallen Angel,0,0,Hurlœil,
156,Under the Weight,0,0,Le Nombril (Titan) phase 5,
157,Weight of a Whisper,0,0,Le Nombril (Titan) phase 1,
158,Weight of His Will,0,0,Le Nombril (Titan) phase 2,
159,Weight of the World,0,0,Le Nombril (Titan) phase 3,
160,Heartless,0,0,Le Nombril (Titan) phase 4,
161,Flight,0,0,Évasion d'Ultima,
162,The Maker's Ruin,0,0,Ultima Arma phase 1,
163,Blinded by Light,0,0,ALÉAs crossover FFXIII,Directement de FFXIII
164,Saber's Edge,0,0,ALÉAs crossover FFXIII,Directement de FFXIII
165,Torn from the Heavens,0,0,ALÉAs spéciaux des zones d'ARR / Défis des reliques d'ARR,Musique de la 1.0
166,Ruby Moonrise,0,0,Évènements à Costa del Sol,"Version rapide de la musique de ""Costa Del Sol"""
167,Serenity,0,0,Forêt de Sombrelinceul,
168,On Westerly Winds,0,0,Noscea,
169,To the Sun,0,0,Thanalan,
170,Crystal Rain,0,0,Mor Dhona,
171,To the Fore,0,0,Boss de donjons Heavensward,Le nom de fichier semble suggérer que cela provient d'un ALÉA
172,The Rider's Boon,0,0,Montures standard d'ARR,Aussi la musique du Goobbue de la version 1.0
173,Thunderer,0,0,Combat contre les Asciens/Twintania,
174,All Saints' Wake,0,0,Zones d'évènement saisonnier,
175,Starlight Celebration,0,0,Zones d'évènement saisonnier,
176,Heavensturn,0,0,Zones d'évènement saisonnier,
177,Reign of Pain,0,0,Thème de Shantotto (événement FFXI),
178,The Seven Jesters,0,0,La Lisière de ronces phase 1,
179,Good King Moggle Mog XII,0,0,La Lisière de ronces phase 2,
180,Hubris,0,Ever Upwards,Dédale antique,
181,Tumbling Down,0,0,Boss du Dédale antique,
182,Agent of Inquiry,0,0,Thème des épisodes Hildibrand,
183,Frontiers Within,0,0,Glas des revenants (jour),
184,Reflections,0,0,Glas des revenants (nuit),
185,A Light in the Storm,0,0,Le Phare de Sirius,
186,Where the Heart Is,0,0,"Brumée, Lavandière, La Coupe (jour)",
187,Where the Hearth Is,0,0,"Brumée, Lavandière, La Coupe (nuit)",
188,Flibbertigibbet,0,0,Forêt de l'est (tribu des Sylphes),
189,Smoulder,0,0,Thanalan méridional (tribu Amalj'aa),
190,Discordance,0,0,Cinématiques (Mystère),"Cette musique se répète en boucle. Cf. ID 57, Discordance."
191,Starlight and Sellswords,0,0,Esthéticien,Musique de la 1.0
192,Battle Theme 1.x,0,0,ALÉAs Hildibrand/Salle des Novices/Rangs B,
193,Big-Boned,0,0,Thème du Gros Chocobo,
194,Gluppity-Schlopp,0,0,Noscea extérieure (tribu Kobold),
195,Breathless,0,0,Noscea occidentale (tribu Sahuagins),
196,Pa-Paya,0,0,Zones d'évènement saisonnier (Chasse aux Prœufs),
197,The Scars of Battle,0,0,Les Vestiges de la cité d'Amdapor,
198,Tempest,0,0,Les Méandres de Bahamut IV (Nael deus Darnus) phase 1,
199,Rise of the White Raven,0,0,Les Méandres de Bahamut IV (Nael deus Darnus) phase 2,
200,Good King Moggle Mog XII,0,0,La Lisière de ronces (Roi Moggle Mog XII) phase 2,
201,Battle on the Big Bridge,0,0,Affrontement sur le grand pont (Gilgamesh),
202,Blades,0,Spiral,Méandres/Abîme de Bahamut (ennemis),
203,Wreck to the Seaman,0,0,Le Briseur de marées (Léviathan) phase 1,
204,Through The Maelstrom,0,0,Le Briseur de marées (Léviathan) phase 2,
205,Meteor,0,0,Cinématiques (Nael),
206,Persistence,0,0,Boss intermédiaires de donjons ARR,
207,Wrath of the Eikons,0,0,Boss final des Vestiges de la cité d'Amdapor / Boss final de Dun Scaith (Diabolos / Diabolos nihil),
208,Fury,0,0,Boss du Bivouac de Brayflox (brutal),Musique de la 1.0
209,Beneath Bloodied Banners,0,0,Boss de fin de donjons ARR brutaux,
210,Birds of a Feather,0,0,Halatali (brutal),Musique de la 1.0
211,Thicker Than a Knife's Blade,0,0,"Cinématiques diverses, L'Assise (Le Chevalier oublié)",
212,Now I Know the Truth,0,0,Thème de Unei et Doga,
213,???,0,0,Zones d'évènement saisonnier,"Musique du Nouvel an lunaire, nom inconnu"
214,Moonfire Faire,0,0,Les Feux de la Mort,
215,Far from Home,0,0,Thème des Ixali,
216,Horizons Calling,0,0,L'Île de Crèvecarène,
217,Dark Vows,0,0,L'Hypogée de Tam-tara,
218,Out of the Labyrinth,0,Shattered,Tour de Syrcus,
219,The War Room,0,0,Front,Musique d'attente au portail
220,Rouse Out!,0,Blood for Blood,Front,
221,Thunder Rolls,0,0,L'Arbre du jugement (Ramuh),
222,Game Theory,0,0,Puzzles/Mini-jeux,
223,Loss of Time,0,0,Cinématiques (Tour de Cristal),
224,Or the Egg,0,0,Montage d'entraînement des Chocobos,
225,His Holiness,The Dragon's Dirge,0,Cinématiques (Thordan),
226,Answers - Reprise,0,0,Ul'dah (Fête de la Commémoration),
227,The Corpse Hall,0,0,La Fontaine d'Urth,
228,Everbinding Oath,0,0,Cérémonie du lien éternel,
229,The Edge,0,0,Entrepôt du quai (quêtes de job Ninja),
230,Footsteps in the Snow,0,0,"L'Amphithéâtre d'Akh Afah (Shiva) phase 1, Les Accords d'Éden - Éclat (sauvage) (Shiva) phase 1",
231,Oblivion,0,0,L'Amphithéâtre d'Akh Afah (Shiva) phase 2,
232,The Decisive Battle,0,0,Le Col du dragon,Directement de FFVI
233,The Warrens,0,0,Manteneige,
234,Forgotten by the Sun,0,0,Le Temple enseveli de Qarn (brutal),
235,Riptide,0,0,Sastasha (brutal),
236,From the Ashes,0,0,L'Abîme de Bahamut III (Phénix),
237,Answers,0,0,L'Abîme de Bahamut IV (Primo-Bahamut),Section harpe / voix
238,Answers,0,0,L'Abîme de Bahamut IV (Primo-Bahamut),Section ensemble / voix
239,The Coil Tightens,0,0,Cinématiques (Le Labyrinthe de Bahamut I),
240,Answers,0,0,L'Abîme de Bahamut IV (Primo-Bahamut),Section des chœurs
241,Eternal Wind,0,0,Cinématiques (Tour de Cristal),
242,Battle on the Big Bridge,0,0,Revanche au vieux château phase 1,Directement de FFV
243,Silver Tears,0,0,Le Gardien du lac,
244,Primogenitor,0,0,"Boss final du Gardien du lac (Midgardsormr), Alphastice v2.0 (Midgardsormr)",Thème principal de Midgardsormr
245,Tricksome,0,0,Le Palais du Vagabond (brutal),
246,Aftermath,0,0,Le Château d'Amdapor (brutal),
247,Blind to the Dark,0,Hamartomania,Monde des Ténèbres,
248,Tumbling Down,0,0,Monde des Ténèbres (estomac du Cerbère),Version étouffée
249,Hunger / The Reach of Darkness,0,0,Monde des Ténèbres,Hunger puis passe à The Reach of Darkness
250,Four-Sided Circle,0,0,Gold Saucer des Manderville,
251,Gateway to Paradise,0,0,Course de chocobos 1,
252,Sport of Kings,0,0,Course de chocobos 2,
253,Shuffle or Boogie,0,0,Triple Triade,Directement de FFVIII
254,Faith in Her Fury,0,0,L'Avancée de la Foi,
255,Unworthy,0,0,Thème de la porte finale de l'Avancée de la Foi,
256,The Tug of Fate,0,0,Boss du Palais du Vagabond (brutal),Musique de Défense des hameaux en 1.0
257,To the Fore,0,0,Boss final du Palais du Vagabond (brutal),
258,Chocobo Victory 1,0,0,Course de chocobos,
259,Chocobo Victory 2,0,0,Course de chocobos,
260,Chocobo Victory 3,0,0,Course de chocobos,
261,Drum Roll,0,0,Course de chocobos,
262,Magiteknical Difficulties,0,0,Monture Armure Magitek,"Remix de ""Terra's Theme"" (FFVI)"
263,The Corpse Hall,0,0,Monture Sleipnir,
264,Oblivion,0,0,Monture de l'Amphithéâtre d'Akh Afah (extrême) (Shiva),
265,Thunder Rolls,0,0,Monture de l'Arbre du jugement (extrême) (Ramuh),
266,Through The Maelstorm,0,0,Monture du Briseur de marées (extrême) (Léviathan),
267,Under the Weight,0,0,Monture du Nombril (extrême) (Titan),
268,Fallen Angel,0,0,Monture de Hurlœil (extrême) (Garuda),
269,Primal Judgement,0,0,Monture du Cratère des tisons (extrême) (Ifrit) mount,
270,Null BGM,0,0,,Son vide
271,A Cold Wind,0,0,Écran titre de Heavensward,
272,Dragonsong,0,0,Crédits de Heavensward,
273,Shelter,0,0,Lieux de repos d'Heavensward,
274,Safety In Numbers,0,0,Lieux de repos d'Heavensward 2,
275,Nobility Obliges,0,0,Les Contreforts (jour),
276,Nobility Sleeps,0,0,Les Contreforts (nuit),
277,Solid,0,0,L'Assise (jour),
278,Night in the Brume,0,0,L'Assise (nuit),
279,Against the Wind,0,0,Hautes terres du Coerthas occidental (jour),
280,Black and White,0,0,Hautes terres du Coerthas occidental (nuit),
281,Melt,0,0,Combat en Hautes terres du Coerthas occidental,Tous les 'Melt' sont la même musique
282,Painted Foothills,0,0,Avant-pays dravanien (jour),
283,Painted Skies,0,0,Avant-pays dravanien (nuit),
284,Melt,0,0,Combat en Avant-pays dravanien,Tous les 'Melt' sont la même musique
285,Missing Pages,0,0,Arrière-pays dravanien (jour),
286,The Silent Regard of Stars,0,0,Arrière-pays dravanien (nuit),
287,Melt,0,0,Combat en Arrière-pays dravanien,Tous les 'Melt' sont la même musique
288,Landlords,0,0,L'Écume des cieux de Dravania (jour),
289,Skylords,0,0,L'Écume des cieux de Dravania (nuit),
290,Melt,0,0,Combat dans l'Écume des cieux de Dravania,Tous les 'Melt' sont la même musique
291,Lost in the Clouds,0,0,L'Écume des cieux d'Abalathia (jour),
292,Close to the Heavens,0,0,L'Écume des cieux d'Abalathia (nuit),
293,Melt,0,0,Combat dans l'Écume des cieux d'Abalathia,Tous les 'Melt' sont la même musique
294,Order Yet Undeciphered,0,0,Azys Lla,
295,Melt,0,0,Combat à Azys Lla,Tous les 'Melt' sont la même musique
296,Paradise Found,0,0,Idyllée (jour),
297,Homestead,0,0,Idyllée (nuit),
298,The Mushroomery,0,0,Caverne de Matoya,
299,Descent,0,0,Le Vigile du Crépuscule,
300,Like a Summer Rain,0,0,Nalloncques,
301,Slumber Eternal,0,0,Sohm Al,
302,Roar of the Wyrm,0,0,L'Aire,
303,Ink Long Dry,0,0,La Grande bibliothèque de Gubal,
304,Imagination,0,0,Le Laboratoire de magismologie,
305,Hallowed Halls,0,0,La Voûte,
306,Hallowed Halls,0,0,La Voûte,Légèrement étouffé
307,Hallowed Halls,0,0,La Voûte,Légèrement plus étouffé
308,Unbreakable,0,0,Le Continuum fractal ,
309,Ominous Prognisticks,0,0,Boss de donjons Heavensward,
310,The Hand That Gives The Rose,0,0,Thok ast Thok (Ravana) phase 1,
311,Limitless Blue,0,0,L'Immensité bleue (Bismarck) phase 1,
312,Heroes,0,0,"Le Réacteur de Singularité, Le règne de Thordan phase 2",
313,Contention,0,0,"Cinématiques de Heavensward, L'Écume des cieux de Dravania (Zénith)",
314,Misconception,0,0,Cinématiques de Heavensward,
315,The Heavens' Ward,0,0,Boss final de la Voûte (Sire Charibert),
316,Stone and Steel,0,0,Cinématiques de Heavensward (Héroique),
317,For the Sky,0,0,Cinématiques de Heavensward,
318,Inception,0,0,Cinématiques de Heavensward,
319,Borderless,0,0,Musique par défaut des montures volantes,
320,The Dragon's Dirge,0,0,Cinématiques de Heavensward,Cette version est en boucle
321,Ultima,0,0,"ALÉA contre Proto-Ultima, Combat contre Proto-Ultima (Dun Scaith)",
322,What is Love?,0,0,L'Écume des cieux de Dravania (Mogs),
323,"Sins of the Father, Sins of the Son",0,0,Alexander (ennemis),
324,Locus,0,0,Alexander (boss),
325,Unbending Steel,0,0,Thok ast Thok phase 2,
326,Woe That Is Madness,0,0,L'Immensité bleue phase 2,
327,Metal,0,Metal,Alexander - Le Poing du Père,"Instrumentale, les voix commencent lorsque le combat débute"
328,When a Tree Falls,0,0,Atelier de CL/Mandats,Musique de la 1.0
329,Toll of the Bells,0,0,La Voûte,Semble être les cloches jouant dans la Voûte selon le nom de fichier
330,All Saint's Wake,0,0,Monture Balai De Sorcière,
331,Steel Reason,0,0,Montures Armure Magitek De Nero/Armure Magitek De Livia,
332,Battle Theme,0,0,Rhapsodies de Vana'diel (FFXI),
333,Battle Theme #2,0,0,Rhapsodies de Vana'diel (FFXI),
334,Recollection,0,0,Rhapsodies de Vana'diel (FFXI),
335,The Kingdom of San d'Oria,0,0,Rhapsodies de Vana'diel (FFXI),
336,The Republic of Bastok,0,0,Rhapsodies de Vana'diel (FFXI),
337,The Federation of Windurst,0,0,Rhapsodies de Vana'diel (FFXI),
338,The Merry Wanderer Waltz,0,0,,"Identique à 399, mais le nom du fichier semble indiquer que c'est une musique Hildibrand"
339,Heavy Rain,0,0,L'Écume des cieux d'Abalathia (Vanu Vanu hostiles),
340,Coming Home,0,0,L'Écume des cieux d'Abalathia (tribu Vanu Vanu),
341,Heroes Never Die,0,0,Le règne de Thordan phase 1,
342,Engage,0,0,Le Diadème,
343,Jewel,0,0,Combat au Diadème,
344,Torn from The Heavens,0,0,Combat contre un monstre célèbre au Diadème,"La boucle se fait au même point que 36, mais c'est une musique différente"
345,Poison Ivy,0,0,L'Arboretum Sainte-Mocianne,
346,Upon the Rocks,0,0,Le Phare de Sirius (brutal),
347,Aetherpause,Aetherosphere,"In Darkness, There Is One",L'Arche du néant,
348,Voidal Manifest,Six Fulms Under,0,"Boss finaux de l'Arche du néant (Echidna), La Cité défendue de Mhach (Calofisteri)",
349,???,0,0,Choc des mascottes,A besoin d'un nom
350,Brothers in Arms,0,0,Choc des mascottes,Fichier spécifique au CdM
351,Nemesis,0,0,Choc des mascottes,Fichier spécifique au CdM
352,The Dark's Kiss,0,0,Choc des mascottes,Fichier spécifique au CdM
353,Aftermath,0,0,Choc des mascottes,Fichier spécifique au CdM
354,The Corpse Hall,0,0,Choc des mascottes,Fichier spécifique au CdM
355,Battle on the Big Bridge,0,0,Choc des mascottes,Fichier spécifique au CdM
356,Spiral,0,0,Choc des mascottes,Fichier spécifique au CdM
357,Calamity Unbound,0,0,Choc des mascottes,Fichier spécifique au CdM
358,Prelude - Rebirth (2nd ver),0,0,Kirin,Piste 81 jouée sur Kirin
359,The Kiss,0,0,La Valention,
360,test,0,0,,Possiblement un fichier audio de test
361,Down the Up Staircase,0,0,L'Antitour,
362,Dancing Calcabrina,0,0,L'Antitour,
363,"No Sound, No Scutter",0,0,Avant-pays dravanien (Vathes hostiles),
364,Piece of Mind,0,0,Avant-pays dravanien (tribu Vathe),
365,Battle to the Death - Heavensward,0,0,Unité de contention S1P7 (Sephirot) / Unité de contention P1T6 (Sophia) / Unité de contention Z1T9 (Zurvan) phase 1,
366,Fiend,0,0,Unité de contention S1T7 (Sephirot) phase 2,
367,Starved,0,Dangertek,The Feast,"Transitionne vers ""Dangertek"" pendant la ""Phase de carnage"""
368,The Ancient City,0,0,Les Vestiges de la cité d'Amdapor (brutal),
369,Metal - Brute Justice Mode,0,0,Alexander - Le Fardeau du Fils (Justicier) phase 2,
370,test,0,0,,Possiblement un fichier audio de test
371,Woe That is Madness,0,0,Monture de l'Immensité bleue (extrême) (Bismarck) / Faucon Des Brumes,
372,Unbending Steel,0,0,Monture de Thok ast Thok (êxtreme) (Ravana) / Faucon Des Lames,
373,Heroes,0,0,Monture du règne de Thordan (Thordan) / Faucon De La Table Ronde,
374,Battle to the Death - Heavensward,0,0,Monture de l'Unité de contention S1T7 (extrême) (Sephirot) / Faucon Séphirotique,
375,Tenacity,0,0,Opérations de guilde,
376,From the Ashes,0,0,Monture Bénou,
377,Faith in Her Fury,0,0,Cinématiques de Heavensward,Version courte/démarrage rapide
378,Stone and Steel,0,0,Cinématiques de Heavensward,Version courte/démarrage rapide
379,Primogenitor,0,0,Cinématiques de Heavensward,Version courte/démarrage rapide
380,Hyper Rainbow Z,0,0,Thème Bomboforce,Joue occasionellement dans le PdM
381,Freedom,0,0,Le Paddock,Musique de Noscea de la 1.0
382,Dragonsong,0,0,La Dernière avancée de la Foi (Nidhogg) / L'ire de Nidhogg phase 1,
383,Freefall,0,0,La Dernière avancée de la Foi (Nidhogg) / L'ire de Nidhogg phase 2,
384,Revenge of the Horde,0,0,La Dernière avancée de la Foi (Nidhogg) / L'ire de Nidhogg phase 3,
385,He Who Continues the Attack,0,0,Thème de Regula van Hydrus,
386,Apologies,0,0,Sohr Khai,
387,Holy Consult,0,0,L'Île de Crèvecarène (brutal),Musique de la 1.0
388,Bathed in Woodsin,0,0,,Musique de la 1.0
389,Emerald Labyrinth,0,0,Palais des morts,Musique de la 1.0
390,Enraptured,0,0,Palais des morts,Musique de la 1.0
391,Tears for Mor Dhona,0,0,Palais des morts,Musique de la 1.0
392,Blackbosom,0,0,Boss de l'étage 50 du PdM/Thème d'Edda Cœur-noir,
393,Teardrops in the Rain,0,Torrent,La Cité défendue de Mhach,
394,A Thousand Faces,0,0,La Cité défendue de Mhach (phase d'Ozma avec les ennemis),
395,Freefall,0,0,Monture de l'ire de Nidhogg / Faucon Des Ombres,
396,Good King Moggle Mog XII,0,0,Monture Gros Mog,
397,Locus,0,0,Monture Gobblindé,
398,Night in the Brume,0,0,Cinématiques de Heavensward,Variante de 278
399,The Merry Wanderer Waltz,0,0,Thème de transition entre les étages du Palais des morts,
400,Fragments of Forever,0,0,Thème d'Alisaie,Musique de la 1.0
401,Notice of Death,0,0,Cinématiques du Palais des morts avant l'étage 100,
402,Equilibrium,0,0,Unité de contention P1T6 (Sophia) phase 2,
403,The Gauntlet,0,0,Combat singulier (JcJ) / Canaux perdus d'Uznair / Palais des morts,
404,Ultima,0,0,Dun Scaith (Proto-Ultima),Démarrage rapide
405,Grounded,0,0,Xelphatol,
406,Revenge Twofold,0,0,Boss de donjons Heavensward 2,
407,Bibliophobia,0,0,La Grande bibliothèque de Gubal (brutal),
408,Up at Dawn,0,0,Manoir hanté (La Veillée des saints),
409,Fog of Phantom,0,0,Palais des morts (étages 91-100),
410,Blasphemous Experiment,0,0,Combat du boss final du Palais des morts (étage 100),
411,Exponential Entropy,0,0,Alexander - Le Cœur du Créateur (Croiseur-chasseur),
412,Mobius,0,0,Alexander - L'Âme du Créateur (Primo-Alexander) phase 1,
413,Rise,0,Stasis Loop,Alexander - L'Âme du Créateur (Primo-Alexander) phase 2,"""Stasis Loop"" est sur un autre chanel, qui est utilisé pendant la mécanique de réécriture du passé"
414,Out of Time,0,0,Alexander - L'Âme du Créateur (Primo-Alexander) à l'intérieur du champ atemporel,Exponential Entropy en version étouffée et lente
415,Equilibrium,0,0,Monture de l'Unité de contention P1T6 (Sophia) / Faucon Sophique,
416,Mobius,0,0,Monture d'Alexander - L'Âme du Créateur (sadique) mount / Messager D'Arrhabée,
417,Infinity,0,0,Unité de contention Z1T9 (Zurvan) phase 3,
418,test,0,0,,Possiblement un fichier audio de test
419,Penultimania,0,0,Unité de contention Z1T9 (Zurvan) phase 2,
420,Another Brick,0,0,La Muraille de Baelsar,
421,Quicksand,0,0,Sohm Al (brutal),
422,Promises,0,0,Mortalis nihil (Dun Scaith),
423,Shadow of the Body,0,0,Dun Scaith,
